"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EXCH","TOT","NATUSD","A","2016",1.345214,
"AUS","EXCH","TOT","NATUSD","A","2017",1.304758,
"AUS","EXCH","TOT","NATUSD","A","2018",1.338412,
"AUS","EXCH","TOT","NATUSD","A","2019",1.438507,
"AUS","EXCH","TOT","NATUSD","A","2020",1.453085,
"AUT","EXCH","TOT","NATUSD","A","2016",0.903421,
"AUT","EXCH","TOT","NATUSD","A","2017",0.885206,
"AUT","EXCH","TOT","NATUSD","A","2018",0.846773,
"AUT","EXCH","TOT","NATUSD","A","2019",0.893276,
"AUT","EXCH","TOT","NATUSD","A","2020",0.875506,
"BEL","EXCH","TOT","NATUSD","A","2016",0.903421,
"BEL","EXCH","TOT","NATUSD","A","2017",0.885206,
"BEL","EXCH","TOT","NATUSD","A","2018",0.846773,
"BEL","EXCH","TOT","NATUSD","A","2019",0.893276,
"BEL","EXCH","TOT","NATUSD","A","2020",0.875506,
"CAN","EXCH","TOT","NATUSD","A","2016",1.325615,
"CAN","EXCH","TOT","NATUSD","A","2017",1.297936,
"CAN","EXCH","TOT","NATUSD","A","2018",1.295818,
"CAN","EXCH","TOT","NATUSD","A","2019",1.326793,
"CAN","EXCH","TOT","NATUSD","A","2020",1.341153,
"CZE","EXCH","TOT","NATUSD","A","2016",24.439917,
"CZE","EXCH","TOT","NATUSD","A","2017",23.376333,
"CZE","EXCH","TOT","NATUSD","A","2018",21.729917,
"CZE","EXCH","TOT","NATUSD","A","2019",22.93225,
"CZE","EXCH","TOT","NATUSD","A","2020",23.21025,
"DNK","EXCH","TOT","NATUSD","A","2016",6.731718,
"DNK","EXCH","TOT","NATUSD","A","2017",6.602893,
"DNK","EXCH","TOT","NATUSD","A","2018",6.314619,
"DNK","EXCH","TOT","NATUSD","A","2019",6.669447,
"DNK","EXCH","TOT","NATUSD","A","2020",6.542152,
"FIN","EXCH","TOT","NATUSD","A","2016",0.903421,
"FIN","EXCH","TOT","NATUSD","A","2017",0.885206,
"FIN","EXCH","TOT","NATUSD","A","2018",0.846773,
"FIN","EXCH","TOT","NATUSD","A","2019",0.893276,
"FIN","EXCH","TOT","NATUSD","A","2020",0.875506,
"FRA","EXCH","TOT","NATUSD","A","2016",0.903421,
"FRA","EXCH","TOT","NATUSD","A","2017",0.885206,
"FRA","EXCH","TOT","NATUSD","A","2018",0.846773,
"FRA","EXCH","TOT","NATUSD","A","2019",0.893276,
"FRA","EXCH","TOT","NATUSD","A","2020",0.875506,
"DEU","EXCH","TOT","NATUSD","A","2016",0.903421,
"DEU","EXCH","TOT","NATUSD","A","2017",0.885206,
"DEU","EXCH","TOT","NATUSD","A","2018",0.846773,
"DEU","EXCH","TOT","NATUSD","A","2019",0.893276,
"DEU","EXCH","TOT","NATUSD","A","2020",0.875506,
"GRC","EXCH","TOT","NATUSD","A","2016",0.903421,
"GRC","EXCH","TOT","NATUSD","A","2017",0.885206,
"GRC","EXCH","TOT","NATUSD","A","2018",0.846773,
"GRC","EXCH","TOT","NATUSD","A","2019",0.893276,
"GRC","EXCH","TOT","NATUSD","A","2020",0.875506,
"HUN","EXCH","TOT","NATUSD","A","2016",281.523333,
"HUN","EXCH","TOT","NATUSD","A","2017",274.433333,
"HUN","EXCH","TOT","NATUSD","A","2018",270.211667,
"HUN","EXCH","TOT","NATUSD","A","2019",290.66,
"HUN","EXCH","TOT","NATUSD","A","2020",307.996667,
"ISL","EXCH","TOT","NATUSD","A","2016",120.811548,
"ISL","EXCH","TOT","NATUSD","A","2017",106.839572,
"ISL","EXCH","TOT","NATUSD","A","2018",108.300176,
"ISL","EXCH","TOT","NATUSD","A","2019",122.606774,
"ISL","EXCH","TOT","NATUSD","A","2020",135.421712,
"IRL","EXCH","TOT","NATUSD","A","2016",0.903421,
"IRL","EXCH","TOT","NATUSD","A","2017",0.885206,
"IRL","EXCH","TOT","NATUSD","A","2018",0.846773,
"IRL","EXCH","TOT","NATUSD","A","2019",0.893276,
"IRL","EXCH","TOT","NATUSD","A","2020",0.875506,
"ITA","EXCH","TOT","NATUSD","A","2016",0.903421,
"ITA","EXCH","TOT","NATUSD","A","2017",0.885206,
"ITA","EXCH","TOT","NATUSD","A","2018",0.846773,
"ITA","EXCH","TOT","NATUSD","A","2019",0.893276,
"ITA","EXCH","TOT","NATUSD","A","2020",0.875506,
"JPN","EXCH","TOT","NATUSD","A","2016",108.7929,
"JPN","EXCH","TOT","NATUSD","A","2017",112.166141,
"JPN","EXCH","TOT","NATUSD","A","2018",110.423179,
"JPN","EXCH","TOT","NATUSD","A","2019",109.009666,
"JPN","EXCH","TOT","NATUSD","A","2020",106.774582,
"KOR","EXCH","TOT","NATUSD","A","2016",1160.7675,
"KOR","EXCH","TOT","NATUSD","A","2017",1131.000833,
"KOR","EXCH","TOT","NATUSD","A","2018",1100.163333,
"KOR","EXCH","TOT","NATUSD","A","2019",1165.3575,
"KOR","EXCH","TOT","NATUSD","A","2020",1180.276058,
"LUX","EXCH","TOT","NATUSD","A","2016",0.903421,
"LUX","EXCH","TOT","NATUSD","A","2017",0.885206,
"LUX","EXCH","TOT","NATUSD","A","2018",0.846773,
"LUX","EXCH","TOT","NATUSD","A","2019",0.893276,
"LUX","EXCH","TOT","NATUSD","A","2020",0.875506,
"MEX","EXCH","TOT","NATUSD","A","2016",18.664058,
"MEX","EXCH","TOT","NATUSD","A","2017",18.926517,
"MEX","EXCH","TOT","NATUSD","A","2018",19.244342,
"MEX","EXCH","TOT","NATUSD","A","2019",19.263633,
"MEX","EXCH","TOT","NATUSD","A","2020",21.485608,
"NLD","EXCH","TOT","NATUSD","A","2016",0.903421,
"NLD","EXCH","TOT","NATUSD","A","2017",0.885206,
"NLD","EXCH","TOT","NATUSD","A","2018",0.846773,
"NLD","EXCH","TOT","NATUSD","A","2019",0.893276,
"NLD","EXCH","TOT","NATUSD","A","2020",0.875506,
"NZL","EXCH","TOT","NATUSD","A","2016",1.436525,
"NZL","EXCH","TOT","NATUSD","A","2017",1.407408,
"NZL","EXCH","TOT","NATUSD","A","2018",1.445258,
"NZL","EXCH","TOT","NATUSD","A","2019",1.517875,
"NZL","EXCH","TOT","NATUSD","A","2020",1.542058,
"NOR","EXCH","TOT","NATUSD","A","2016",8.4,
"NOR","EXCH","TOT","NATUSD","A","2017",8.271667,
"NOR","EXCH","TOT","NATUSD","A","2018",8.1325,
"NOR","EXCH","TOT","NATUSD","A","2019",8.8,
"NOR","EXCH","TOT","NATUSD","A","2020",9.419493,
"POL","EXCH","TOT","NATUSD","A","2016",3.942783,
"POL","EXCH","TOT","NATUSD","A","2017",3.779333,
"POL","EXCH","TOT","NATUSD","A","2018",3.611717,
"POL","EXCH","TOT","NATUSD","A","2019",3.839375,
"POL","EXCH","TOT","NATUSD","A","2020",3.899742,
"PRT","EXCH","TOT","NATUSD","A","2016",0.903421,
"PRT","EXCH","TOT","NATUSD","A","2017",0.885206,
"PRT","EXCH","TOT","NATUSD","A","2018",0.846773,
"PRT","EXCH","TOT","NATUSD","A","2019",0.893276,
"PRT","EXCH","TOT","NATUSD","A","2020",0.875506,
"SVK","EXCH","TOT","NATUSD","A","2016",0.903421,
"SVK","EXCH","TOT","NATUSD","A","2017",0.885206,
"SVK","EXCH","TOT","NATUSD","A","2018",0.846773,
"SVK","EXCH","TOT","NATUSD","A","2019",0.893276,
"SVK","EXCH","TOT","NATUSD","A","2020",0.875506,
"ESP","EXCH","TOT","NATUSD","A","2016",0.903421,
"ESP","EXCH","TOT","NATUSD","A","2017",0.885206,
"ESP","EXCH","TOT","NATUSD","A","2018",0.846773,
"ESP","EXCH","TOT","NATUSD","A","2019",0.893276,
"ESP","EXCH","TOT","NATUSD","A","2020",0.875506,
"SWE","EXCH","TOT","NATUSD","A","2016",8.561992,
"SWE","EXCH","TOT","NATUSD","A","2017",8.548861,
"SWE","EXCH","TOT","NATUSD","A","2018",8.692518,
"SWE","EXCH","TOT","NATUSD","A","2019",9.458349,
"SWE","EXCH","TOT","NATUSD","A","2020",9.210309,
"CHE","EXCH","TOT","NATUSD","A","2016",0.985394,
"CHE","EXCH","TOT","NATUSD","A","2017",0.984692,
"CHE","EXCH","TOT","NATUSD","A","2018",0.977883,
"CHE","EXCH","TOT","NATUSD","A","2019",0.993775,
"CHE","EXCH","TOT","NATUSD","A","2020",0.938895,
"TUR","EXCH","TOT","NATUSD","A","2016",3.020135,
"TUR","EXCH","TOT","NATUSD","A","2017",3.648133,
"TUR","EXCH","TOT","NATUSD","A","2018",4.82837,
"TUR","EXCH","TOT","NATUSD","A","2019",5.673819,
"TUR","EXCH","TOT","NATUSD","A","2020",7.008605,
"GBR","EXCH","TOT","NATUSD","A","2016",0.740634,
"GBR","EXCH","TOT","NATUSD","A","2017",0.776977,
"GBR","EXCH","TOT","NATUSD","A","2018",0.749532,
"GBR","EXCH","TOT","NATUSD","A","2019",0.783445,
"GBR","EXCH","TOT","NATUSD","A","2020",0.78,
"USA","EXCH","TOT","NATUSD","A","2016",1,
"USA","EXCH","TOT","NATUSD","A","2017",1,
"USA","EXCH","TOT","NATUSD","A","2018",1,
"USA","EXCH","TOT","NATUSD","A","2019",1,
"USA","EXCH","TOT","NATUSD","A","2020",1,
"BRA","EXCH","TOT","NATUSD","A","2016",3.491313,
"BRA","EXCH","TOT","NATUSD","A","2017",3.191389,
"BRA","EXCH","TOT","NATUSD","A","2018",3.653825,
"BRA","EXCH","TOT","NATUSD","A","2019",3.944471,
"BRA","EXCH","TOT","NATUSD","A","2020",5.155179,
"CHL","EXCH","TOT","NATUSD","A","2016",676.957736,
"CHL","EXCH","TOT","NATUSD","A","2017",648.833793,
"CHL","EXCH","TOT","NATUSD","A","2018",641.276813,
"CHL","EXCH","TOT","NATUSD","A","2019",702.897423,
"CHL","EXCH","TOT","NATUSD","A","2020",792.727206,
"CHN","EXCH","TOT","NATUSD","A","2016",6.644478,
"CHN","EXCH","TOT","NATUSD","A","2017",6.758755,
"CHN","EXCH","TOT","NATUSD","A","2018",6.615957,
"CHN","EXCH","TOT","NATUSD","A","2019",6.908385,
"CHN","EXCH","TOT","NATUSD","A","2020",6.900767,
"COL","EXCH","TOT","NATUSD","A","2016",3054.121673,
"COL","EXCH","TOT","NATUSD","A","2017",2951.327402,
"COL","EXCH","TOT","NATUSD","A","2018",2955.70397,
"COL","EXCH","TOT","NATUSD","A","2019",3280.831631,
"COL","EXCH","TOT","NATUSD","A","2020",3694.854072,
"EST","EXCH","TOT","NATUSD","A","2016",0.903421,
"EST","EXCH","TOT","NATUSD","A","2017",0.885206,
"EST","EXCH","TOT","NATUSD","A","2018",0.846773,
"EST","EXCH","TOT","NATUSD","A","2019",0.893276,
"EST","EXCH","TOT","NATUSD","A","2020",0.875506,
"IND","EXCH","TOT","NATUSD","A","2016",67.195313,
"IND","EXCH","TOT","NATUSD","A","2017",65.121569,
"IND","EXCH","TOT","NATUSD","A","2018",68.389467,
"IND","EXCH","TOT","NATUSD","A","2019",70.420341,
"IND","EXCH","TOT","NATUSD","A","2020",74.104917,
"IDN","EXCH","TOT","NATUSD","A","2016",13308.326802,
"IDN","EXCH","TOT","NATUSD","A","2017",13380.833879,
"IDN","EXCH","TOT","NATUSD","A","2018",14236.938773,
"IDN","EXCH","TOT","NATUSD","A","2019",14147.671361,
"IDN","EXCH","TOT","NATUSD","A","2020",14582.203468,
"ISR","EXCH","TOT","NATUSD","A","2016",3.840567,
"ISR","EXCH","TOT","NATUSD","A","2017",3.599556,
"ISR","EXCH","TOT","NATUSD","A","2018",3.590558,
"ISR","EXCH","TOT","NATUSD","A","2019",3.564527,
"ISR","EXCH","TOT","NATUSD","A","2020",3.442406,
"RUS","EXCH","TOT","NATUSD","A","2016",67.055933,
"RUS","EXCH","TOT","NATUSD","A","2017",58.342801,
"RUS","EXCH","TOT","NATUSD","A","2018",62.668133,
"RUS","EXCH","TOT","NATUSD","A","2019",64.737658,
"RUS","EXCH","TOT","NATUSD","A","2020",72.104908,
"SVN","EXCH","TOT","NATUSD","A","2016",0.903421,
"SVN","EXCH","TOT","NATUSD","A","2017",0.885206,
"SVN","EXCH","TOT","NATUSD","A","2018",0.846773,
"SVN","EXCH","TOT","NATUSD","A","2019",0.893276,
"SVN","EXCH","TOT","NATUSD","A","2020",0.875506,
"ZAF","EXCH","TOT","NATUSD","A","2016",14.709611,
"ZAF","EXCH","TOT","NATUSD","A","2017",13.323801,
"ZAF","EXCH","TOT","NATUSD","A","2018",13.233926,
"ZAF","EXCH","TOT","NATUSD","A","2019",14.448427,
"ZAF","EXCH","TOT","NATUSD","A","2020",16.473187,
"LVA","EXCH","TOT","NATUSD","A","2016",0.903421,
"LVA","EXCH","TOT","NATUSD","A","2017",0.885206,
"LVA","EXCH","TOT","NATUSD","A","2018",0.846773,
"LVA","EXCH","TOT","NATUSD","A","2019",0.893276,
"LVA","EXCH","TOT","NATUSD","A","2020",0.875506,
"LTU","EXCH","TOT","NATUSD","A","2016",0.903421,
"LTU","EXCH","TOT","NATUSD","A","2017",0.885206,
"LTU","EXCH","TOT","NATUSD","A","2018",0.846773,
"LTU","EXCH","TOT","NATUSD","A","2019",0.893276,
"LTU","EXCH","TOT","NATUSD","A","2020",0.875506,
"SAU","EXCH","TOT","NATUSD","A","2016",3.75,
"SAU","EXCH","TOT","NATUSD","A","2017",3.75,
"SAU","EXCH","TOT","NATUSD","A","2018",3.75,
"SAU","EXCH","TOT","NATUSD","A","2019",3.75,
"SAU","EXCH","TOT","NATUSD","A","2020",3.75,
"EA19","EXCH","TOT","NATUSD","A","2016",0.903421,
"EA19","EXCH","TOT","NATUSD","A","2017",0.885206,
"EA19","EXCH","TOT","NATUSD","A","2018",0.846773,
"EA19","EXCH","TOT","NATUSD","A","2019",0.893276,
"EA19","EXCH","TOT","NATUSD","A","2020",0.875506,
"ARG","EXCH","TOT","NATUSD","A","2016",14.758175,
"ARG","EXCH","TOT","NATUSD","A","2017",16.562707,
"ARG","EXCH","TOT","NATUSD","A","2018",28.094992,
"ARG","EXCH","TOT","NATUSD","A","2019",48.147892,
"ARG","EXCH","TOT","NATUSD","A","2020",70.539167,
"CRI","EXCH","TOT","NATUSD","A","2016",544.739367,
"CRI","EXCH","TOT","NATUSD","A","2017",567.51309,
"CRI","EXCH","TOT","NATUSD","A","2018",576.972501,
"CRI","EXCH","TOT","NATUSD","A","2019",587.294596,
"CRI","EXCH","TOT","NATUSD","A","2020",584.900855,
"BGR","EXCH","TOT","NATUSD","A","2016",1.768042,
"BGR","EXCH","TOT","NATUSD","A","2017",1.735458,
"BGR","EXCH","TOT","NATUSD","A","2018",1.657042,
"BGR","EXCH","TOT","NATUSD","A","2019",1.747042,
"BGR","EXCH","TOT","NATUSD","A","2020",1.716333,
"HRV","EXCH","TOT","NATUSD","A","2016",6.80599,
"HRV","EXCH","TOT","NATUSD","A","2017",6.623831,
"HRV","EXCH","TOT","NATUSD","A","2018",6.279025,
"HRV","EXCH","TOT","NATUSD","A","2019",6.622545,
"HRV","EXCH","TOT","NATUSD","A","2020",6.614056,
"CYP","EXCH","TOT","NATUSD","A","2016",0.903421,
"CYP","EXCH","TOT","NATUSD","A","2017",0.885206,
"CYP","EXCH","TOT","NATUSD","A","2018",0.846773,
"CYP","EXCH","TOT","NATUSD","A","2019",0.893276,
"CYP","EXCH","TOT","NATUSD","A","2020",0.875506,
"MLT","EXCH","TOT","NATUSD","A","2016",0.903421,
"MLT","EXCH","TOT","NATUSD","A","2017",0.885206,
"MLT","EXCH","TOT","NATUSD","A","2018",0.846773,
"MLT","EXCH","TOT","NATUSD","A","2019",0.893276,
"MLT","EXCH","TOT","NATUSD","A","2020",0.875506,
"PER","EXCH","TOT","NATUSD","A","2016",3.375062,
"PER","EXCH","TOT","NATUSD","A","2017",3.260488,
"PER","EXCH","TOT","NATUSD","A","2018",3.286603,
"PER","EXCH","TOT","NATUSD","A","2019",3.337266,
"ROU","EXCH","TOT","NATUSD","A","2016",4.059183,
"ROU","EXCH","TOT","NATUSD","A","2017",4.052492,
"ROU","EXCH","TOT","NATUSD","A","2018",3.941617,
"ROU","EXCH","TOT","NATUSD","A","2019",4.237925,
"ROU","EXCH","TOT","NATUSD","A","2020",4.243992,
"MKD","EXCH","TOT","NATUSD","A","2016",55.731725,
"MKD","EXCH","TOT","NATUSD","A","2017",54.665458,
"MKD","EXCH","TOT","NATUSD","A","2018",52.107108,
"MKD","EXCH","TOT","NATUSD","A","2019",54.9472,
"MKD","EXCH","TOT","NATUSD","A","2020",54.144325,
"MDG","EXCH","TOT","NATUSD","A","2016",3176.539167,
"MDG","EXCH","TOT","NATUSD","A","2017",3116.11,
"MDG","EXCH","TOT","NATUSD","A","2018",3334.752255,
"MAR","EXCH","TOT","NATUSD","A","2016",9.807476,
"MAR","EXCH","TOT","NATUSD","A","2017",9.691998,
"MAR","EXCH","TOT","NATUSD","A","2018",9.386102,
"ZMB","EXCH","TOT","NATUSD","A","2016",10.3075,
"ZMB","EXCH","TOT","NATUSD","A","2017",9.517803,
"ZMB","EXCH","TOT","NATUSD","A","2018",10.458143,
"ZMB","EXCH","TOT","NATUSD","A","2019",12.89,
"ZMB","EXCH","TOT","NATUSD","A","2020",18.331226,
"SRB","EXCH","TOT","NATUSD","A","2016",111.27785,
"SRB","EXCH","TOT","NATUSD","A","2017",107.75885,
"SRB","EXCH","TOT","NATUSD","A","2018",100.175075,
"HKG","EXCH","TOT","NATUSD","A","2016",7.76225,
"HKG","EXCH","TOT","NATUSD","A","2017",7.79325,
"HKG","EXCH","TOT","NATUSD","A","2018",7.8385,
"EU27_2020","EXCH","TOT","NATUSD","A","2016",0.903421,
"EU27_2020","EXCH","TOT","NATUSD","A","2017",0.885206,
"EU27_2020","EXCH","TOT","NATUSD","A","2018",0.846773,
"EU27_2020","EXCH","TOT","NATUSD","A","2019",0.893276,
"EU27_2020","EXCH","TOT","NATUSD","A","2020",0.875506,
